,week_end_date,metro,state_id,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
83,9/4/2021,toledo, oh,45780,"toledo, oh",84,-11.2,3.7,-9,-20.5,9.4,0.7,-16.5,-3.2
84,9/4/2021,boise city, id,14260,"boise city, id",85,29.7,96.9,-5,-13.2,32.5,-6.0,266.7,5.2
85,9/4/2021,springfield, ma,44140,"springfield, ma",86,-8.3,-14.7,-14,-31.1,-10.3,0.7,37.5,2.8
86,9/4/2021,des moines-west des moines, ia,19780,"des moines-west des moines, ia",87,11.9,-25.5,-1,-1.8,-13.2,1.5,-25.1,-0.2
87,9/4/2021,lakeland-winter haven, fl,29460,"lakeland-winter haven, fl",88,20.7,-51.0,-19,-32.8,-19.6,6.4,-28.5,1.9
88,9/4/2021,palm bay-melbourne-titusville, fl,37340,"palm bay-melbourne-titusville, fl",89,14.1,-28.5,-16,-29.1,17.0,5.6,7.7,3.0
89,9/4/2021,mcallen-edinburg-mission, tx,32580,"mcallen-edinburg-mission, tx",90,18.2,-21.9,-30,-38.0,-21.1,0.1,-19.5,0.1
90,9/4/2021,scranton--wilkes-barre--hazleton, pa,42540,"scranton--wilkes-barre--hazleton, pa",91,0.0,-12.9,-18,-30.5,2.4,1.7,25.0,2.2
91,9/4/2021,harrisburg-carlisle, pa,25420,"harrisburg-carlisle, pa",92,-4.1,-9.3,9,25.0,0.7,1.4,73.0,3.6
92,9/4/2021,youngstown-warren-boardman, oh-pa,49660,"youngstown-warren-boardman, oh-pa",93,-7.1,-7.1,-9,-16.4,1.0,0.9,13.0,1.5
93,9/4/2021,augusta-richmond county, ga-sc,12260,"augusta-richmond county, ga-sc",94,12.4,-17.9,-9,-17.0,-0.5,2.2,2.3,1.2
94,9/4/2021,stockton-lodi, ca,44700,"stockton-lodi, ca",95,14.8,29.4,-12,-31.6,7.7,-3.2,94.4,2.5
95,9/4/2021,chattanooga, tn-ga,16860,"chattanooga, tn-ga",96,-1.5,-24.3,-14,-28.0,-16.7,1.1,5.0,2.2
96,9/4/2021,portland-south portland, me,38860,"portland-south portland, me",97,6.2,-20.4,-10,-23.8,-20.1,0.0,-15.5,0.4
97,9/4/2021,durham-chapel hill, nc,20500,"durham-chapel hill, nc",98,3.7,-44.5,-24,-42.1,-29.1,3.0,-55.3,-1.6
98,9/4/2021,spokane-spokane valley, wa,44060,"spokane-spokane valley, wa",99,19.0,-10.7,-5,-12.5,-6.7,0.7,1.3,0.8
99,9/4/2021,jackson, ms,27140,"jackson, ms",100,-11.0,-38.1,-24,-31.6,-33.3,0.6,-43.3,-0.6
100,8/28/2021,new york-newark-jersey city, ny-nj-pa,35620,"new york-newark-jersey city, ny-nj-pa",1,-2.3,-11.9,2,3.6,-12.6,-0.1,-36.2,-1.1
101,8/28/2021,los angeles-long beach-anaheim, ca,31080,"los angeles-long beach-anaheim, ca",2,-2.8,-18.2,-7,-13.7,-6.6,1.5,-24.5,-0.4
102,8/28/2021,chicago-naperville-elgin, il-in-wi,16980,"chicago-naperville-elgin, il-in-wi",3,-3.2,-16.7,-5,-11.9,-7.1,1.2,-12.7,0.2
103,8/28/2021,dallas-fort worth-arlington, tx,19100,"dallas-fort worth-arlington, tx",4,10.0,-35.4,-11,-24.4,0.4,5.6,-29.9,0.1
104,8/28/2021,philadelphia-camden-wilmington, pa-nj-de-md,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,-7.2,0.1,0,0.0,0.6,0.1,9.0,0.6
105,8/28/2021,washington-arlington-alexandria, dc-va-md-wv,47900,"washington-arlington-alexandria, dc-va-md-wv",6,-4.8,16.8,4,12.9,1.8,-1.9,47.0,1.7
106,8/28/2021,houston-the woodlands-sugar land, tx,26420,"houston-the woodlands-sugar land, tx",7,9.1,-22.9,-13,-25.5,-7.6,1.6,-19.8,0.1
107,8/28/2021,miami-fort lauderdale-west palm beach, fl,33100,"miami-fort lauderdale-west palm beach, fl",8,12.0,-46.6,-33,-35.5,-8.8,3.9,-49.8,-0.4
108,8/28/2021,atlanta-sandy springs-roswell, ga,12060,"atlanta-sandy springs-roswell, ga",9,13.5,-29.5,-12,-25.5,2.9,4.7,-25.2,0.0
109,8/28/2021,boston-cambridge-newton, ma-nh,14460,"boston-cambridge-newton, ma-nh",10,-2.4,-20.9,-4,-10.3,-19.5,0.2,-31.2,-0.8
110,8/28/2021,san francisco-oakland-hayward, ca,41860,"san francisco-oakland-hayward, ca",11,-5.5,-22.2,-4,-11.4,-4.3,3.0,-33.2,-0.9
111,8/28/2021,detroit-warren-dearborn, mi,19820,"detroit-warren-dearborn, mi",12,-5.5,-10.4,-12,-32.4,12.2,2.9,16.0,1.7
112,8/28/2021,phoenix-mesa-scottsdale, az,38060,"phoenix-mesa-scottsdale, az",13,14.7,-16.3,-8,-21.1,5.0,3.6,-17.3,-0.5
113,8/28/2021,seattle-tacoma-bellevue, wa,42660,"seattle-tacoma-bellevue, wa",14,8.0,-38.2,-5,-14.7,-2.7,7.4,-15.9,1.3
114,8/28/2021,minneapolis-st. paul-bloomington, mn-wi,33460,"minneapolis-st. paul-bloomington, mn-wi",15,-1.1,-13.6,-7,-19.4,-7.0,1.0,15.9,1.7
115,8/28/2021,riverside-san bernardino-ontario, ca,40140,"riverside-san bernardino-ontario, ca",16,17.2,-5.1,-11,-24.4,9.9,2.1,6.6,0.5
116,8/28/2021,tampa-st. petersburg-clearwater, fl,45300,"tampa-st. petersburg-clearwater, fl",17,20.0,-38.1,-17,-32.7,1.4,6.3,-36.6,-0.4
117,8/28/2021,san diego-carlsbad, ca,41740,"san diego-carlsbad, ca",18,7.9,2.7,5,14.3,-7.1,-1.4,-15.5,-1.0
118,8/28/2021,st. louis, mo-il,41180,"st. louis, mo-il",19,0.0,-15.0,-14,-24.1,5.3,2.5,2.7,1.1
119,8/28/2021,denver-aurora-lakewood, co,19740,"denver-aurora-lakewood, co",20,11.2,-31.3,-14,-38.9,1.9,6.2,-29.2,-0.4
120,8/28/2021,baltimore-columbia-towson, md,12580,"baltimore-columbia-towson, md",21,-3.0,-3.9,-2,-5.3,7.6,1.5,29.0,2.2
121,8/28/2021,pittsburgh, pa,38300,"pittsburgh, pa",22,-6.0,-13.9,-11,-20.4,-0.3,1.5,14.7,2.3
122,8/28/2021,portland-vancouver-hillsboro, or-wa,38900,"portland-vancouver-hillsboro, or-wa",23,11.4,-21.5,-7,-16.7,-7.0,2.4,-18.7,0.1
123,8/28/2021,charlotte-concord-gastonia, nc-sc,16740,"charlotte-concord-gastonia, nc-sc",24,3.5,-29.5,-14,-33.3,-0.7,4.7,-14.8,0.9
124,8/28/2021,orlando-kissimmee-sanford, fl,36740,"orlando-kissimmee-sanford, fl",25,15.4,-46.5,-21,-36.2,-0.3,7.1,-45.9,-0.5
125,8/28/2021,cleveland-elyria, oh,17460,"cleveland-elyria, oh",26,-11.1,1.3,-8,-16.3,9.7,1.0,6.9,0.4
126,8/28/2021,cincinnati, oh-ky-in,17140,"cincinnati, oh-ky-in",27,-3.1,-1.9,-9,-22.0,12.4,1.8,10.7,0.8
127,8/28/2021,san antonio-new braunfels, tx,41700,"san antonio-new braunfels, tx",28,13.2,-31.0,-15,-29.4,7.0,5.0,-13.4,1.4
128,8/28/2021,sacramento--roseville--arden-arcade, ca,40900,"sacramento--roseville--arden-arcade, ca",29,10.2,1.2,-7,-18.9,1.1,0.0,41.3,2.4
129,8/28/2021,kansas city, mo-ks,28140,"kansas city, mo-ks",30,-5.9,-2.1,-10,-20.4,15.6,2.1,28.1,1.7
130,8/28/2021,columbus, oh,18140,"columbus, oh",31,-1.6,2.4,-11,-32.4,16.6,2.1,2.9,-0.2
131,8/28/2021,indianapolis-carmel-anderson, in,26900,"indianapolis-carmel-anderson, in",32,-1.7,-22.1,-10,-21.7,15.3,5.5,-26.7,-1.1
132,8/28/2021,las vegas-henderson-paradise, nv,29820,"las vegas-henderson-paradise, nv",33,23.2,-33.8,-13,-31.7,0.0,4.4,-34.6,-0.4
133,8/28/2021,austin-round rock, tx,12420,"austin-round rock, tx",34,33.7,-18.9,-18,-41.9,21.9,5.5,20.5,2.6
134,8/28/2021,nashville-davidson--murfreesboro--franklin, tn,34980,"nashville-davidson--murfreesboro--franklin, tn",35,10.3,-47.9,-13,-38.2,-12.6,7.0,-26.3,1.8
135,8/28/2021,san jose-sunnyvale-santa clara, ca,41940,"san jose-sunnyvale-santa clara, ca",36,4.2,-22.5,-3,-9.1,7.0,5.0,-29.1,-0.9
136,8/28/2021,virginia beach-norfolk-newport news, va-nc,47260,"virginia beach-norfolk-newport news, va-nc",37,-7.4,-19.3,-13,-32.5,-0.7,2.4,22.8,1.7
137,8/28/2021,milwaukee-waukesha-west allis, wi,33340,"milwaukee-waukesha-west allis, wi",38,-14.7,5.4,-7,-16.7,19.5,1.8,21.1,0.9
138,8/28/2021,providence-warwick, ri-ma,39300,"providence-warwick, ri-ma",39,1.0,-10.0,-13,-29.5,-1.4,1.3,19.8,1.4
139,8/28/2021,jacksonville, fl,27260,"jacksonville, fl",40,12.9,-37.6,-25,-40.3,13.7,6.9,-41.3,-0.9
140,8/28/2021,oklahoma city, ok,36420,"oklahoma city, ok",41,3.8,-23.1,-15,-28.8,10.1,4.1,-21.0,-0.1
141,8/28/2021,louisville/jefferson county, ky-in,31140,"louisville/jefferson county, ky-in",42,-7.1,-6.7,-9,-23.7,12.0,2.5,28.7,2.4
142,8/28/2021,memphis, tn-ms-ar,32820,"memphis, tn-ms-ar",43,-5.7,-12.0,-12,-25.0,50.9,6.9,-16.0,-0.8
143,8/28/2021,new orleans-metairie, la,35380,"new orleans-metairie, la",44,3.1,-4.7,-17,-26.2,8.7,1.0,33.6,1.7
144,8/28/2021,richmond, va,40060,"richmond, va",45,-2.8,-17.2,-12,-23.5,2.8,2.8,-5.8,0.6
145,8/28/2021,buffalo-cheektowaga-niagara falls, ny,15380,"buffalo-cheektowaga-niagara falls, ny",46,1.4,-8.3,1,2.8,-14.4,-1.1,1.0,0.7
146,8/28/2021,hartford-west hartford-east hartford, ct,25540,"hartford-west hartford-east hartford, ct",47,10.4,-54.7,-8,-18.2,-25.7,4.9,-16.7,2.8
147,8/28/2021,raleigh, nc,39580,"raleigh, nc",48,12.7,-58.3,-27,-61.4,-13.0,10.8,-64.2,-1.5
148,8/28/2021,birmingham-hoover, al,13820,"birmingham-hoover, al",49,-0.7,-23.7,-14,-26.9,1.4,3.3,-9.4,0.9
149,8/28/2021,rochester, ny,40380,"rochester, ny",50,-8.3,-21.9,-9,-31.0,-3.8,3.4,-24.1,-0.4
150,8/28/2021,tucson, az,46060,"tucson, az",51,9.2,-8.4,-10,-22.7,31.7,5.1,33.0,2.4
151,8/28/2021,salt lake city, ut,41620,"salt lake city, ut",52,14.7,-11.3,-9,-30.0,20.8,5.2,15.4,1.7
152,8/28/2021,grand rapids-wyoming, mi,24340,"grand rapids-wyoming, mi",53,2.7,-26.1,-10,-22.2,6.6,5.6,-27.3,-0.5
153,8/28/2021,tulsa, ok,46140,"tulsa, ok",54,-4.3,-22.9,-11,-22.4,11.2,4.5,-28.7,-1.0
154,8/28/2021,albany-schenectady-troy, ny,10580,"albany-schenectady-troy, ny",55,0.0,-21.3,-9,-13.6,-14.6,0.8,-22.2,-0.1
155,8/28/2021,albuquerque, nm,10740,"albuquerque, nm",56,9.3,-21.9,-5,-11.4,7.3,4.4,-12.0,0.7
156,8/28/2021,worcester, ma-ct,49340,"worcester, ma-ct",57,6.7,-12.8,-8,-21.6,-16.7,-0.7,39.3,2.4
157,8/28/2021,omaha-council bluffs, ne-ia,36540,"omaha-council bluffs, ne-ia",58,-6.7,-15.7,-12,-26.7,11.2,4.2,30.0,1.8
158,8/28/2021,knoxville, tn,28940,"knoxville, tn",59,-1.5,-25.3,-17,-31.5,30.0,6.6,3.4,1.9
159,8/28/2021,bridgeport-stamford-norwalk, ct,14860,"bridgeport-stamford-norwalk, ct",60,19.5,-49.5,3,5.4,-35.6,1.6,-35.6,0.8
160,8/28/2021,greenville-anderson-mauldin, sc,24860,"greenville-anderson-mauldin, sc",61,13.7,-39.8,-17,-29.8,2.6,6.7,-24.3,0.9
161,8/28/2021,new haven-milford, ct,35300,"new haven-milford, ct",62,17.6,-51.5,-7,-16.7,-20.4,5.0,30.0,4.1
162,8/28/2021,north port-sarasota-bradenton, fl,35840,"north port-sarasota-bradenton, fl",63,25.7,-66.7,-32,-45.7,-16.1,10.3,-61.3,0.2
163,8/28/2021,dayton, oh,19380,"dayton, oh",64,10.0,-2.6,-8,-21.6,10.4,1.7,32.2,2.8
164,8/28/2021,urban honolulu, hi,46520,"urban honolulu, hi",65,13.7,-21.8,-21,-31.3,11.6,2.1,-33.0,-0.3
165,8/28/2021,allentown-bethlehem-easton, pa-nj,10900,"allentown-bethlehem-easton, pa-nj",66,7.0,-7.9,0,0.0,5.2,1.7,-7.9,-0.1
166,8/28/2021,baton rouge, la,12940,"baton rouge, la",67,9.1,-44.2,-23,-29.9,15.2,4.7,-10.3,2.0
167,8/28/2021,columbia, sc,17900,"columbia, sc",68,8.2,-24.8,-18,-43.9,11.3,4.9,-8.5,0.9
168,8/28/2021,greensboro-high point, nc,24660,"greensboro-high point, nc",69,-13.1,-23.2,-16,-30.8,37.5,7.9,4.3,1.4
169,8/28/2021,fresno, ca,23420,"fresno, ca",70,14.3,15.4,-5,-16.7,24.4,1.2,5.3,-0.6
170,8/28/2021,little rock-north little rock-conway, ar,30780,"little rock-north little rock-conway, ar",71,2.1,-26.7,-6,-14.0,-1.6,3.2,-15.7,0.7
171,8/28/2021,charleston-north charleston, sc,16700,"charleston-north charleston, sc",72,0.5,-47.3,-30,-46.9,7.8,7.6,-20.6,2.7
172,8/28/2021,akron, oh,10420,"akron, oh",73,0.0,4.1,-10,-23.3,11.8,1.0,25.6,1.6
173,8/28/2021,cape coral-fort myers, fl,15980,"cape coral-fort myers, fl",74,19.4,-63.8,-34,-44.2,-24.8,7.2,-50.2,1.3
174,8/28/2021,el paso, tx,21340,"el paso, tx",75,11.1,-26.5,-6,-13.0,-19.9,1.0,6.4,1.2
