month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,26115,"monroe, mi",249450,0.0186,0.0398,224,0.1728,-0.0218,33,0.03125,-0.282608696,184,-0.0417,0.2432,4,0,-0.8,80,0.1765,0.1111,279,0.1434,0.0772,147.9365365,-0.0021,0.1048,1687.5,-0.0074,-0.0166,288259.0292,0.0143,0.1217,503,0.1563,0.0307,1.245535714,-0.032,0.1145
202108,19113,"linn, ia",224000,-0.0464,-0.0639,440,0.1609,-0.253,29.5,0.017241379,-0.48245614,328,0.0789,0.7826,8,0,0,160,0.0811,1,714,-0.1207,-0.1163,125.6793478,0.0263,0.0276,1647.5,-0.0234,-0.036,279926.2168,-0.047,0.0576,1154,-0.0311,-0.1739,1.622727273,-0.5198,0.2509
202108,47019,"carter, tn",271450,0.0858,0.0057,52,0.0833,-0.3158,30,-0.142857143,-0.53125,32,-0.2,-0.1111,0,,,24,0.2,0.5,61,-0.0615,-0.2469,145.8960926,-0.0039,0.1012,1758,0.0174,-0.1152,522612.5219,-0.0067,0.3598,113,0,-0.2803,1.173076923,-0.1811,0.1073
202108,30029,"flathead, mt",712433.5,0.0251,0.357,583,0.0052,-0.1414,59.5,0.122641509,-0.084615385,204,-0.1774,-0.3929,4,-0.5,-0.6667,104,0.0833,-0.037,536,-0.0056,-0.2966,330.7521205,0.0017,0.3591,2011.5,0.0395,-0.0389,1222147.367,-0.0021,0.2619,1119,0,-0.2235,0.919382504,-0.0099,-0.2029
202108,36013,"chautauqua, ny",176500,0.0388,-0.014,462,0.0065,0.6098,320.5,0.10899654,3.78358209,112,-0.125,-0.125,0,-1,-1,52,0.3,-0.2353,138,-0.0143,0.4526,104.9349003,0.0271,-0.0378,1602,0.0088,-0.0291,244941.9649,0.0265,-0.0567,600,0.0017,0.5707,0.298701299,-0.0063,-0.0323
202108,37081,"guilford, nc",284500,0.0345,-0.1507,511,0.0646,-0.3791,35.5,0.044117647,-0.29,592,0.2131,0.2437,8,-0.5,-0.7778,172,0.303,-0.2586,1421,-0.022,1.5285,0,,,0,,,381723.2779,0.0679,-0.0774,1932,-0.0005,0.3949,2.780821918,-0.2463,2.098
202108,18141,"st. joseph, in",207949.5,-0.0328,-0.0754,337,0.0665,-0.2288,36,0.090909091,-0.217391304,260,-0.2169,-0.1096,12,0.5,2,112,0.3333,-0.2632,95,-0.0777,0.0215,118.6996251,-0.0071,0.1309,1722.5,-0.0473,-0.1043,325532.2698,0.026,0.1374,432,0.031,-0.1849,0.28189911,-0.0441,0.0691
202108,39055,"geauga, oh",344950,-0.0549,-0.1374,115,-0.0336,-0.2813,40.5,0.157142857,-0.301724138,88,-0.2414,0.375,0,,,40,0,-0.2857,177,0.1419,-0.0635,129.98971,0.0003,0.1617,2572.5,-0.0426,-0.1593,488598.0385,0.0124,0.0344,292,0.0657,-0.1633,1.539130435,0.2366,0.3579
202108,24015,"cecil, md",385167,0.0382,0.2628,182,-0.0215,-0.0109,55.5,-0.008928571,-0.476415094,112,0,0.2174,0,-1,-1,28,-0.3,-0.3,220,0.1,4.9459,180.1470588,0.0287,0.1466,1990,0.0056,0.0247,453393.8536,0.0802,0.1464,402,0.0415,0.819,1.208791209,0.1335,1.0077
202108,6001,"alameda, ca",893944,-0.0012,0.0836,1435,0.1022,-0.0584,26.5,0.06,-0.196969697,1576,-0.0794,0.0707,52,0,-0.0714,292,0.1406,-0.1512,1758,-0.0309,-0.0757,619.145268,0.0019,0.0952,1433.5,-0.0038,-0.0379,1072132.859,-0.0255,-0.0695,3193,0.0247,-0.068,1.225087108,-0.1682,-0.0229
