month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,46220,"indianapolis, in",,299000,-0.0033,-0.08,74,0.1212,0.1563,34,0.214285714,-0.028571429,72,0,0,0,,,44,-0.0833,0.1,100,-0.0566,-0.115,139.4790477,0.0074,0.021,2217,-0.0526,-0.1447,343837.4774,-0.0118,-0.1616,174,0.0116,-0.0169,1.351351351,-0.2547,-0.4143
202108,6016,"broad brook, ct",*,419450,-0.1169,0.234,20,0.25,,97.5,-0.166666667,0.5,12,0.5,0.5,0,,,4,,0,24,0.0435,,187.4663798,-0.1139,0.3946,1979,-0.08,-0.1889,386844.2262,-0.1095,0.1421,44,0.1282,1,1.2,-0.2375,1.2
202108,10473,"bronx, ny",,450000,0,-0.0526,77,0.0548,-0.2062,123.5,0.235,-0.098540146,16,1,0,0,,,4,0,-0.6667,14,-0.0667,-0.1765,361.0859729,-0.0092,0.0313,1170,-0.025,-0.0299,450374.5069,0.0351,-0.0695,91,0.0341,-0.2018,0.181818182,-0.0237,0.0066
202108,97458,"myrtle point, or",,374500,-0.0614,0.1523,16,0.0667,0.4545,44.5,0.589285714,-0.726993865,8,-0.3333,0,0,,,4,0,0,16,0,0.3333,191.5313389,0.1002,0.1727,1904,-0.0802,0.1333,959847.6223,1.1747,-0.217,32,0.0323,0.3913,1,-0.0667,-0.0909
202108,34481,"ocala, fl",,204975,0.0249,0.0431,208,0.0505,-0.4108,550.5,0.060693642,2.238235294,60,0.0714,-0.375,0,,-1,12,2,-0.75,269,0.0467,-0.011,126.8687693,0.0244,0.0937,1665.5,-0.008,-0.018,242253.2926,0.0163,0.1242,477,0.0484,-0.2368,1.293269231,-0.0047,0.5227
202108,22812,"bridgewater, va",,317900,0.0242,0.1257,28,0,0.5556,89.5,0.543103448,0.826530612,0,-1,-1,0,,,0,,,31,0.1481,0.6316,172.6778924,0,0.003,1841,0,0.0932,396674.8264,-0.1557,0.181,59,0.0727,0.5946,1.107142857,0.1429,0.0516
202108,75220,"dallas, tx",*,637450,-0.0894,-0.1489,54,0.2558,-0.3933,30.5,-0.046875,,40,0.4286,0.25,0,,,24,0.5,0.2,37,-0.075,-0.119,313.2839225,-0.0037,0.1389,2266,-0.0965,-0.1481,1449789.67,-0.1847,-0.0674,91,0.0964,-0.3053,0.685185185,-0.245,0.2133
202108,30620,"bethlehem, ga",,330000,-0.032,0.0157,63,0.3125,0.2115,24.5,0.166666667,-0.443181818,60,-0.1667,0.5,0,-1,-1,28,0.1667,2.5,101,-0.0381,0.086,146.4454976,0.0341,0.2876,1876,-0.1473,-0.1903,408315.4121,0.0626,0.057,164,0.0719,0.131,1.603174603,-0.5843,-0.1853
202108,53094,"watertown, wi",,259900,0,-0.0371,16,-0.1111,-0.4074,53,0.261904762,0.606060606,20,0,-0.2857,0,,,8,,0,32,-0.2,-0.2,135.5153319,-0.0325,-0.2254,1651.5,-0.0443,0.2002,327749.1776,0.0584,0.228,48,-0.1724,-0.2836,2,-0.2222,0.5185
202108,55092,"wyoming, mn",*,469900,0.0716,,16,-0.0588,-0.2727,41,-0.023809524,0.366666667,16,1,0,0,,,0,,-1,23,-0.2069,-0.0417,196.7794898,0.0226,0.1996,2003,0.0303,-0.0084,503301.3134,0.0357,0.1169,39,-0.1522,-0.1522,1.4375,-0.2684,0.3466
