month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,27140,"jackson, ms",100,274949.5,-0.0163,-0.0994,736,0.0713,-0.4093,47.5,0.032608696,-0.383116883,416,0.0097,0.0612,12,0,-0.25,256,0.0847,-0.2195,737,0.1304,-0.3822,120.2293817,-0.0354,-0.0216,2255,-0.0305,-0.0773,370225.745,-0.0336,0.0129,1473,0.1001,-0.3961,1.001358696,0.0523,0.0439
202108,36260,"ogden-clearfield, ut",101,494450,0.0195,0.133,591,0.1964,-0.0264,14,0.076923077,-0.5625,820,0,0.25,44,0.5714,-0.2667,276,0.3269,0.725,1168,0.0513,-0.3081,206.435005,0.0172,0.2419,2434.5,0.0006,-0.1176,688541.7376,0.0575,0.0403,1759,0.096,-0.2336,1.976311337,-0.2727,-0.8046
202108,30460,"lexington-fayette, ky",102,319402.5,0.0014,-0.0319,681,0.0741,-0.2763,44,-0.083333333,-0.266666667,444,-0.075,-0.0089,20,-0.2857,-0.6429,232,0.3182,-0.1944,1446,-0.0487,-0.1372,157.2403047,0.0033,0.1134,2035,0.0175,-0.1468,459070.0466,-0.0176,-0.0023,2127,-0.0125,-0.1872,2.123348018,-0.2741,0.3423
202108,29540,"lancaster, pa",103,330750,0.0339,-0.0127,484,0.0454,-0.196,41,-0.046511628,-0.108695652,436,-0.0522,0.2111,28,0.75,-0.5,136,0,0,975,-0.0221,24.6579,160.2683424,0.0278,0.0913,1994,0.0385,-0.0936,412855.0528,0.0842,0.028,1459,-0.0007,1.2797,2.01446281,-0.1389,1.9513
202108,42220,"santa rosa, ca",104,857000,-0.0092,0.0714,750,-0.0196,-0.0458,38,0.085714286,-0.173913043,548,-0.068,0.181,20,0,0.25,272,0.0968,0.0968,601,-0.0639,-0.1487,475.1763299,0.0095,0.122,1826.5,-0.0106,-0.0238,1440173.113,-0.0314,0.0784,1351,-0.0398,-0.0945,0.801333333,-0.0379,-0.0969
202108,22220,"fayetteville-springdale-rogers, ar-mo",105,342500,0.0181,0.1233,931,0.1123,-0.1988,36.5,-0.013513514,-0.348214286,748,-0.0508,0.1911,20,-0.375,-0.6875,296,0.1935,0.0725,2188,0.0014,0.0935,162.0074382,0.0254,0.2001,1990,-0.0158,-0.0736,502969.3029,0.0151,0.1561,3119,0.0321,-0.0139,2.350161117,-0.2604,0.6281
202108,11700,"asheville, nc",106,449755,-0.0159,0.056,1233,0.019,-0.2789,52,0.155555556,-0.324675325,616,-0.1348,0.0267,24,0.5,-0.1429,396,-0.0294,-0.1885,1177,0.049,-0.0539,246.4406597,-0.0048,0.2236,1864,-0.0148,-0.1366,696070.1433,0.0107,0.1422,2410,0.0334,-0.1842,0.95458232,0.0273,0.2271
202108,29180,"lafayette, la",107,269000,0,0.1471,799,0.0323,-0.4361,58.5,0.17,-0.311764706,320,-0.0909,-0.0909,16,-0.2,-0.6,228,0.0962,-0.3936,944,-0.0115,0.0477,137.2546186,-0.0017,0.1293,2044,-0.0082,0.0246,407085.1975,0.0029,0.2552,1743,0.0081,-0.2481,1.181476846,-0.0524,0.5456
202108,29620,"lansing-east lansing, mi",108,189400,-0.0026,-0.0761,783,0.2254,-0.0404,29,0,-0.355555556,648,-0.0899,0.125,4,-0.5,-0.75,348,0.7059,0.2254,952,0.0578,-0.1385,123.0390288,-0.0744,0.154,1492,0.0529,-0.1683,247106.0389,-0.0074,-0.0274,1735,0.1274,-0.0968,1.215836526,-0.1926,-0.1383
202108,37860,"pensacola-ferry pass-brent, fl",109,359950,0.0287,0.2038,1242,0.1089,-0.1648,27,0.125,-0.4375,924,-0.0455,0.3353,120,-0.0323,-0.7414,464,0.2747,0.1717,26,-0.037,-0.4694,180.6607629,0.0047,0.2488,1883.5,0.0176,-0.0346,533953.4669,0.0138,0.1546,1268,0.1055,-0.1745,0.020933977,-0.0032,-0.012
202108,44180,"springfield, mo",110,279950,-0.0177,0.1198,661,0.1318,-0.331,31,0.068965517,-0.261904762,504,-0.0735,-0.1127,4,-0.8,-0.9333,268,0.2182,0.0984,1368,-0.0215,-0.0572,126.6946163,-0.0149,0.1042,1996.5,-0.0332,-0.0332,370993.8208,-0.0656,0.1264,2029,0.0237,-0.1681,2.069591528,-0.3242,0.601
202108,34820,"myrtle beach-conway-north myrtle beach, sc-nc",111,362995,0.0213,0.3967,2295,0.1361,-0.5962,37,-0.097560976,-0.55952381,1608,0.1652,-0.0147,188,-0.06,-0.4471,600,0.3158,-0.5033,5225,0.0054,0.1573,202.5547851,-0.0056,0.2531,1749.5,0.0095,0.0546,464483.9776,0.0108,0.3581,7520,0.042,-0.2627,2.276688453,-0.2961,1.4824
202108,38940,"port st. lucie, fl",112,403357.5,0.0109,0.3012,1202,0.0507,-0.5417,40.5,-0.012195122,-0.4375,920,0.0407,-0.098,64,-0.2,-0.5789,316,-0.0814,-0.4148,1799,-0.0542,-0.2693,216.6152368,0.0111,0.2709,1883,-0.0011,0.0217,691644.1102,0.0172,0.264,3001,-0.0148,-0.4098,1.496672213,-0.1659,0.5581
202108,26620,"huntsville, al",113,324900,0,0.083,520,0.2411,-0.5029,16,0.454545455,-0.673469388,564,0,-0.007,28,0,-0.8511,216,0.9286,-0.1148,15,1.5,2.75,143.113527,0.0063,0.1718,2339,0.0108,-0.0655,418295.0098,0.0079,0.1163,535,0.2588,-0.4905,0.028846154,0.0145,0.025
202108,43340,"shreveport-bossier city, la",114,166500,-0.0206,-0.1671,856,0.0877,-0.3228,52,0.268292683,-0.174603175,428,0.07,-0.0183,12,0.5,-0.4,236,0.3721,-0.3444,804,0.0012,13.8889,97.69984917,-0.0138,-0.0685,1744,-0.0213,-0.1079,243242.2997,-0.0475,-0.123,1660,0.044,0.2595,0.939252336,-0.0811,0.8965
